name,nationality,sport,gold,silver,bronze,total
Aleksandar RADOVIC,MNE,aquatics,0,0,0,0
Aleksandr Krasnykh,RUS,aquatics,0,0,0,0
Aleksandr Lipatov,RUS,canoe,0,0,0,0
Aleksandr Markov,RUS,equestrian,0,0,0,0
Aleksandr Popkov,RUS,aquatics,0,0,0,0
Aleksandr Sadovnikov,RUS,aquatics,0,0,0,0
Aleksandra Cotti,ITA,aquatics,0,1,0,1
Aleksandra Crvendakic,SRB,basketball,0,0,1,1
Aleksandra Jarmolinska,POL,shooting,0,0,0,0
Aleksandra Krunic,SRB,tennis,0,0,0,0
Aleksandra Patskevich,RUS,aquatics,1,0,0,1
Aleksandra Romanova,KAZ,athletics,0,0,0,0
Aleksandra Socha,POL,fencing,0,0,0,0
Aleksandra Urbanczyk,POL,aquatics,0,0,0,0
Aleksandrs Samoilovs,LAT,volleyball,0,0,0,0
Aleksei Brianskii,RUS,aquatics,0,0,0,0
Aleksei Kurbatov,RUS,cycling,0,0,0,0
Aleksejs Rumjancevs,LAT,canoe,0,0,0,0
Aleksejs Saramotins,LAT,cycling,0,0,0,0
Aleksey Mochalov,UZB,canoe,0,0,0,0
Aleksi Ojala,FIN,athletics,0,0,0,0
Alemu Bekele,BRN,athletics,0,0,0,0
Alen Zasieiev,UKR,wrestling,0,0,0,0
Alena Abramchuk,BLR,athletics,0,0,0,0
Alena Amialiusik,BLR,cycling,0,0,0,0
Alena Furman,BLR,rowing,0,0,0,0
Alena Sharp,CAN,golf,0,0,0,0
Alena Sobaleva,BLR,athletics,0,0,0,0
Alesha Widdall,USA,hockey,0,0,0,0
Alessandra Aguilar,ESP,athletics,0,0,0,0
Alessandra Patelli,ITA,rowing,0,0,0,0
Alessandra Perilli,SMR,shooting,0,0,0,0
Alessandro De Marchi,ITA,cycling,0,0,0,0
Alessandro Fabian,ITA,triathlon,0,0,0,0
Alessandro Nora,ITA,aquatics,0,0,1,1
Alessandro Velotto,ITA,aquatics,0,0,1,1
Alessia Gennari,ITA,volleyball,0,0,0,0
Alessia Maurelli,ITA,gymnastics,0,0,0,0
Alessia Orro,ITA,volleyball,0,0,0,0
Alessia Polieri,ITA,aquatics,0,0,0,0
Alessia Trost,ITA,athletics,0,0,0,0
Aletta Jorritsma,NED,rowing,0,0,0,0
Alev Kelter,USA,rugby sevens,0,0,0,0
Alex Abrines,ESP,basketball,0,0,1,1
Alex Amankwah,GHA,athletics,0,0,0,0
Alex Beddoes,COK,athletics,0,0,0,0
Alex Bowen,USA,aquatics,0,0,0,0
Alex Casasayas,ESP,hockey,0,0,0,0
Alex Cejka,GER,golf,0,0,0,0
Alex Garcia,BRA,basketball,0,0,0,0
Alex Garcia Mendoza,CUB,judo,0,0,0,0
Alex Gregory,GBR,rowing,1,0,0,1
Alex Hua Tian,CHN,equestrian,0,0,0,0
Alex Kennedy,NZL,rowing,0,0,0,0
Alex Maloney,NZL,sailing,0,1,0,1
Alex Morgan,USA,football,0,0,0,0
Alex Obert,USA,aquatics,0,0,0,0
Alex Ranghieri,ITA,volleyball,0,0,0,0
Alex Roelse,USA,aquatics,0,0,0,0
Alex Rose,SAM,athletics,0,0,0,0
Alex Sobers,BAR,aquatics,0,0,0,0
Alex William Pombo Silva,BRA,judo,0,0,0,0
Alex Wright,IRL,athletics,0,0,0,0
Alex di Giorgio,ITA,aquatics,0,0,0,0
Alexa Moreno,MEX,gymnastics,0,0,0,0
Alexander Belonogoff,AUS,rowing,0,1,0,1
Alexander Brouwer,NED,volleyball,0,0,1,1
Alexander Bryukhankov,RUS,triathlon,0,0,0,0
Alexander Bury,BLR,tennis,0,0,0,0
Alexander Choupenitch,CZE,fencing,0,0,0,0
Alexander Edmondson,AUS,cycling,0,1,0,1
Alexander Fransson,SWE,football,0,0,0,0
Alexander Gehbauer,AUT,cycling,0,0,0,0
Alexander Hartmann,AUS,athletics,0,0,0,0
Alexander Hendrickx,BEL,hockey,0,0,0,0
Alexander Hill,AUS,rowing,0,1,0,1
Alexander Horst,AUT,volleyball,0,0,0,0
Alexander Huber,AUT,volleyball,0,0,0,0
Alexander John,GER,athletics,0,0,0,0
Alexander Karwoski,USA,rowing,0,0,0,0
Alexander Kosenkow,GER,athletics,0,0,0,0
Alexander Leksell,SWE,football,0,0,0,0
Alexander Lerionka Sampao,KEN,athletics,0,0,0,0
Alexander Lesun,RUS,modern pentathlon,1,0,0,1
Alexander Lloyd,AUS,rowing,0,0,0,0
Alexander Massialas,USA,fencing,0,1,1,2
Alexander Milosevic,SWE,football,0,0,0,0
